,Listing title,eBay item ID,Store category L1,Store category L2,Quantity sold,Total sales (Includes taxes),Item sales,Taxes and government fees paid by buyer to you,Taxes and government fees paid by buyer to eBay,Shipping and handling paid by buyer to you,Total selling costs,Insertion fees,Optional listing upgrade fees,Final value fees,Promoted Listings - General fees,Promoted Listings - Priority fees,Ads Express fees,Promoted Offsite - Fees,International fees,Other eBay fees,Deposit processing fees,Fee credits,Shipping labels cost (Amount you paid to buy shipping labels on eBay),Net sales (Net of taxes and selling costs),Average Selling price,Quantity sold via promoted listing,Quantity sold via Best Offers,Quantity sold via Seller Initiated Offers
329,"Hain Pure Foods Iodized Sea Salt, 21 Oz",196187861654.0,Other,-,1.0,9.4,9.4,$0.00,$0.00,$0.00,$2.31,$0.00,$0.00,$1.46,$0.85,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,7.09,9.4,1,0,0
330,"Amazon Basics Computer Speakers for Desktop or Laptop PC , USB-Powered, Black",196189569395.0,Other,-,1.0,36.38,33.55,$0.00,$2.83,$0.00,$8.06,$0.00,$0.00,$4.79,$3.27,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,25.49,36.38,1,0,0
331,"Garden of Life Vegan Protein Powder - Raw Vanilla Meal Shake, Pea Protein, 2.3lb",196191872494.0,Other,-,1.0,49.71,46.46,$0.00,$3.25,$0.00,$6.44,$0.00,$0.00,$6.44,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,40.02,49.71,0,0,0
332,"T.N. Dickinson's Witch Hazel Astringent for Face and Body, 100% Natural, 6 Count",196192144643.0,Other,-,1.0,40.4,37.49,$0.00,$2.91,$0.00,$9.03,$0.00,$0.00,$5.39,$3.64,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,28.46,40.4,1,0,0
333,Wakeman Fitness Under Desk Bike & Exercise Machine - LCD Screen for Arms and Leg,196192177984.0,Other,-,1.0,64.95,60.0,$0.00,$4.95,$0.00,$8.32,$0.00,$0.00,$8.32,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,51.68,64.95,0,1,0
334,"SZYT 25"" Wood Baseball Bat for Self-Defense, Softball or Home Defense - Lightwei",196192179442.0,Other,-,1.0,40.34,37.35,$0.00,$2.99,$0.00,$5.28,$0.00,$0.00,$5.28,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,32.07,40.34,0,0,0
335,Seventh Generation Free and Clear Dishwasher Detergent Gel 42 Fluid ounce,196192365114.0,Other,-,1.0,21.33,20.0,$0.00,$1.33,$0.00,$2.93,$0.00,$0.00,$2.93,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,17.07,21.33,0,1,0
336,Doritos Nacho Cheese Tortilla Chips 12 Bags,196192366232.0,Other,-,1.0,21.98,21.98,$0.00,$0.00,$0.00,$3.01,$0.00,$0.00,$3.01,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,18.97,21.98,0,0,0
337,"Ziploc Big Bags, XL, 4 Count (Pack of 2)",196192367524.0,Other,-,1.0,42.27,39.23,$0.00,$3.04,$0.00,$9.32,$0.00,$0.00,$5.52,$3.80,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,29.91,42.27,1,0,0
338,"Dove Gentle Exfoliating Body Wash with Nutrium Moisture, 16.9 Fl Oz (Pack of 1)",196192368408.0,Other,-,1.0,22.2,21.08,$0.00,$1.12,$0.00,$3.14,$0.00,$0.00,$3.14,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,17.94,22.2,0,0,0
339,"Crest Pro-Health Advanced Gum Restore Toothpaste, Deep Clean 3.7 Oz (Pack of 3)",196192374174.0,Other,-,1.0,0.0,0.0,$0.00,$0.00,$0.00,$6.35,$0.00,$0.00,$3.80,$2.55,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-6.35,0.0,1,0,0
340,Harry's Men's Shaving Kit: Razor & 3 Ember Blade Refills,196192375231.0,Other,-,1.0,21.48,20.26,$0.00,$1.22,$0.00,$4.88,$0.00,$0.00,$2.95,$1.93,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,15.38,21.48,1,0,0
341,"SHARPIE Electro Pop Permanent Markers, Fine Point, Assorted Colors, 24 Count",196192377028.0,Other,-,1.0,21.25,20.0,$0.00,$1.25,$0.00,$4.83,$0.00,$0.00,$2.92,$1.91,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,15.17,21.25,1,1,0
342,"TAZO Regenerative Organic Zen Green Tea Bags, 36 Count (Pack of 4)",196192379361.0,Other,-,1.0,31.46,31.46,$0.00,$0.00,$0.00,$7.02,$0.00,$0.00,$4.19,$2.83,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,24.44,31.46,1,0,0
343,"Tazo Zen Green Tea, 20 Count (Pack of 2)",196192379565.0,Other,-,1.0,34.46,34.46,$0.00,$0.00,$0.00,$7.66,$0.00,$0.00,$4.56,$3.10,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,26.8,34.46,1,0,0
344,"BOOST Original Nutritional Drink, Rich Chocolate, 8 Fl Oz (Pack of 24)",196192379983.0,Other,-,1.0,53.68,49.42,$0.00,$4.26,$0.00,$15.95,$0.00,$0.00,$6.93,$4.83,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$4.19,33.47,53.68,1,0,0
345,"BOOST Original Nutritional Drink, Very Vanilla, 8 Fl Oz (Pack of 24)",196192380023.0,Other,-,1.0,61.13,57.13,$0.00,$4.00,$0.00,$13.35,$0.00,$0.00,$15.50,$10.86,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$13.01,$0.00,43.78,61.13,1,0,0
346,"BOOST Original Nutritional Drink, Creamy Strawberry, 8Â fl oz (Pack of 24)",196192380062.0,Other,-,1.0,59.74,55.0,$0.00,$4.74,$0.00,$13.06,$0.00,$0.00,$7.68,$5.38,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,41.94,59.74,1,1,0
347,"Pure Encapsulations Biotin 8mg - Stress Relief, Hair, Skin, Nails - 120 Capsules",196252234688.0,Other,-,1.0,38.88,38.88,$0.00,$0.00,$0.00,$8.60,$0.00,$0.00,$5.10,$3.50,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,30.28,38.88,1,0,0
348,"Biotin 10,000mcg w/ Hyaluronic Acid & Coconut Oil Softgels 365 ct",196252235681.0,Other,-,1.0,43.19,40.42,$0.00,$2.77,$0.00,$5.73,$0.00,$0.00,$5.73,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,34.69,43.19,0,0,0
349,Zinc 30mg Highly Absorbable Immune System Support 60 Capsules,196252237120.0,Other,-,1.0,25.78,25.27,$0.00,$0.51,$0.00,$5.80,$0.00,$0.00,$3.48,$2.32,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,19.47,25.78,1,0,0
350,"Pure B5 Pantothenic Acid Capsules, Vitamin B5, Calcium, 100ct",196252238811.0,Other,-,1.0,13.07,12.94,$0.00,$0.13,$0.00,$3.09,$0.00,$0.00,$1.91,$1.18,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,9.85,13.07,1,0,0
351,Pure Encapsulations O.N.E. Multivitamin - Antioxidant Complex - 1 Month Supply,196252239873.0,Other,-,1.0,37.58,37.58,$0.00,$0.00,$0.00,$8.32,$0.00,$0.00,$4.94,$3.38,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,29.26,37.58,1,0,0
352,Pure Encapsulations SP Ultimate: Prostate Health Support 90 Capsules,196252615725.0,Other,-,1.0,109.64,103.68,$0.00,$5.96,$0.00,$23.71,$0.00,$0.00,$13.84,$9.87,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,79.97,109.64,1,0,0
353,"Pure Encapsulations +Cal+ with Ipriflavon | Mineral, Vitamin and Herbal Suppleme",196252616759.0,Other,-,1.0,84.89,84.89,$0.00,$0.00,$0.00,$18.42,$0.00,$0.00,$10.78,$7.64,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,66.47,84.89,1,0,0
354,Klaire Labs Vital-10 Probiotic Supplement - 10 Strains for Immune & Digestive He,196252617784.0,Other,-,1.0,47.08,47.08,$0.00,$0.00,$0.00,$10.45,$0.00,$0.00,$6.21,$4.24,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,36.63,47.08,1,0,0
355,"Ray-Ban Men's RB3362 Cockpit Aviator Sunglasses, Gold/Clear Gradient Blue, 59 mm",196253684651.0,Other,-,1.0,115.44,108.14,$0.00,$7.30,$0.00,$25.05,$0.00,$0.00,$14.66,$10.39,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,83.09,115.44,1,0,0
356,"Ray-Ban Junior Metal Aviator Sunglasses, Arista/Brown Gradient, 52mm",196253685396.0,Other,-,1.0,100.23,95.0,$0.00,$5.23,$0.00,$21.70,$0.00,$0.00,$12.68,$9.02,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,73.3,100.23,1,1,0
357,"Ray-Ban Wayfarer Smart Glasses - Shiny Caramel, Polarized Brown",196259000685.0,Other,-,1.0,775.72,708.42,$0.00,$67.30,$0.00,$166.91,$0.00,$0.00,$96.20,$62.06,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$8.65,541.51,775.72,1,0,0
358,Ray-Ban Meta-Wayfarer Smart Glasses- Matte Black / Clear with Green Transitions,196270858977.0,Other,-,1.0,0.0,0.0,$0.00,$0.00,$0.00,$97.35,$0.00,$0.00,$62.15,$35.00,$0.00,$0.00,$0.20,$0.00,$0.00,$0.00,$0.00,$0.00,-97.35,0.0,1,1,0
359,"Green Mountain Coffee Roasters Decaf Dark Magic, Single-Serve  K-Cup Pods",196270930052.0,Other,-,1.0,64.39,63.75,$0.00,$0.64,$0.00,$15.33,$0.00,$0.00,$8.25,$7.08,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,48.42,64.39,1,0,0
360,Military Carbon Fiber Case for Samsung Galaxy Buds 2 Pro/Anti-Drop Lock/Keychain,196279072076.0,Other,-,1.0,17.17,15.69,$0.00,$1.48,$0.00,$4.07,$0.00,$0.00,$2.52,$1.55,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11.62,17.17,1,0,0
361,Sennheiser True Wireless 3 Wood Case Cover & Carrying Bag,196279160501.0,Other,-,1.0,44.47,40.8,$0.00,$3.67,$0.00,$12.42,$0.00,$0.00,$4.40,$4.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$4.02,28.38,44.47,1,0,0
362,RLSOCO Carrying Case for Sennheiser Momentum TWS Buds (Gray),196279162722.0,Other,-,1.0,23.62,22.02,$0.00,$1.60,$0.00,$4.56,$0.00,$0.00,$2.43,$2.13,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,17.46,23.62,1,0,0
363,"Jabra Elite 85t Ear Tips Replacement, Black",196279164606.0,Other,-,1.0,17.18,16.18,$0.00,$1.00,$0.00,$3.40,$0.00,$0.00,$1.85,$1.55,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,12.78,17.18,1,0,0
364,"Powerbeats Pro Silicone Earbud Replacement Set, 4 Pair (Black)",196279170646.0,Other,-,1.0,14.2,12.94,$0.00,$1.26,$0.00,$2.86,$0.00,$0.00,$1.58,$1.28,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,10.08,14.2,1,0,0
365,"5 Pairs Silicone Ear Tips for Echo Buds (2023) - Black, Anti-Slip Ear Cover",196279178203.0,Other,-,1.0,29.3,27.64,$0.00,$1.66,$0.00,$9.87,$0.00,$0.00,$3.04,$2.64,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$4.19,17.77,29.3,1,0,0
366,Item ID 196279218478,196279218478.0,Other,-,1.0,406.13,380.0,$0.00,$26.13,$0.00,$65.00,$0.00,$0.00,$34.60,$30.40,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,315.0,406.13,1,1,0
367,"GroTawel Charger Cradle for Jabra Elite 75t, 700mAh Battery",196279225297.0,Other,-,1.0,42.65,40.0,$0.00,$2.65,$0.00,$4.24,$0.00,$0.00,$4.24,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,35.76,42.65,0,1,0
368,Jesus Christ Superstar [Blu-ray],196279330752.0,Other,-,1.0,27.64,27.64,$0.00,$0.00,$0.00,$7.13,$0.00,$0.00,$3.81,$3.32,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,20.51,27.64,1,0,0
369,"Sunny Health Fitness Air Walk Trainer Glider w/ LCD Monitor, 220LB Max Weight, 3",196279339014.0,Other,-,1.0,138.54,126.09,$0.00,$12.45,$0.00,$29.88,$0.00,$0.00,$17.41,$12.47,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,96.21,138.54,1,0,0
370,"Nokia 2780 Flip   Unlocked   Verizon, AT T, T-Mobile   Blue",196279480259.0,Other,-,1.0,127.11,118.79,$0.00,$8.32,$0.00,$23.28,$0.00,$0.00,$11.84,$11.44,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,95.51,127.11,1,0,0
371,"Easyfone Prime-A6 Unlocked 4G Cell Phone, Clear Sound Dumbphone with Charging Do",196279481013.0,Other,-,1.0,127.11,117.29,$0.00,$9.82,$0.00,$29.37,$0.00,$0.00,$11.84,$11.44,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$6.09,87.92,127.11,1,0,0
372,Sumi Living Mini Heat Gun for DIY Repair & Paint Drying,196279498294.0,Other,-,1.0,19.42,19.42,$0.00,$0.00,$0.00,$3.80,$0.00,$0.00,$2.05,$1.75,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,15.62,19.42,1,0,0
373,"Ailun Privacy Screen Protector for iPhone 14/13/13 Pro [6.1""] [Black] 2 Pack.",196279507823.0,Other,-,1.0,14.91,14.03,$0.00,$0.88,$0.00,$3.93,$0.00,$0.00,$2.14,$1.79,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,10.1,14.91,1,0,0
374,NFL Cheerleaders Making the Squad - San Diego Chargers by NFL,196279516758.0,Other,-,1.0,18.57,16.84,$0.00,$1.73,$0.00,$4.36,$0.00,$0.00,$2.69,$1.67,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,12.48,18.57,1,0,0
375,PNY 32GB Elite Class 10 SDHC Flash Memory Card 5-Pack - 100MB/s Read,196279530075.0,Other,-,1.0,51.85,47.73,$0.00,$4.12,$0.00,$5.07,$0.00,$0.00,$5.07,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,42.66,51.85,0,0,0
376,"WILSON NBA DRV Series Basketball - DRV, Brown, Mini - 22""",196279583043.0,Other,-,1.0,22.6,20.93,$0.00,$1.67,$0.00,$5.12,$0.00,$0.00,$3.09,$2.03,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,15.81,22.6,1,0,0
377,"WILSON NBA Forge Series Indoor/Outdoor Basketball - Forge, Brown, Size 7 - 29.5""",196279584329.0,Other,-,1.0,53.56,49.36,$0.00,$4.20,$0.00,$7.01,$0.00,$0.00,$7.01,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,42.35,53.56,0,0,0
378,Franklin Sports Grip-Rite 100 Junior Youth Football,196279591885.0,Other,-,1.0,13.54,12.6,$0.00,$0.94,$0.00,$2.07,$0.00,$0.00,$2.07,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,10.53,13.54,0,0,0
379,"Easton   HAVOC Baseball Bat   USA   -10   2 1 4"" Barrel   29""",196279600139.0,Other,-,1.0,0.0,0.0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$11.63,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$11.63,$0.00,0.0,0.0,0,0,0
380,Brooks Adrenaline GTS 22 Running Shoe - White/Grey/Black - Size 9,196279631924.0,Other,-,1.0,140.04,130.88,$0.00,$9.16,$0.00,$30.19,$0.00,$0.00,$17.59,$12.60,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,100.69,140.04,1,0,0
381,"Muscle Milk Pro Series Sleeping Giant Protein Powder - Vanilla, 1.71 lb, 30g Pro",196280843075.0,Other,-,1.0,34.95,32.36,$0.00,$2.59,$0.00,$7.87,$0.00,$0.00,$4.72,$3.15,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,24.49,34.95,1,0,0
382,"Muscle Milk Gainer Protein Powder, Vanilla Creme, 32g Protein, 5 Pound",196280843523.0,Other,-,1.0,50.21,50.21,$0.00,$0.00,$0.00,$11.02,$0.00,$0.00,$6.50,$4.52,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,39.19,50.21,1,0,0
383,"MSI Raider GE78HX 17 240Hz Gaming Laptop  i9, RTX 4070, 32GB RAM, 1TB SSD, Win",196281013328.0,Other,-,1.0,3856.42,3562.51,$0.00,$293.91,$0.00,$438.67,$0.00,$0.00,$207.28,$231.39,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,3123.84,3856.42,1,0,0
384,"Lian-Li O11DE-9X GPU Bracket for 40 Series GPU, Black, and Silver Risers Not Inc",196281112008.0,Other,-,1.0,20.11,18.97,$0.00,$1.14,$0.00,$2.21,$0.00,$0.00,$2.21,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,16.76,20.11,0,0,0
385,"Pharata 2.5L Cool Mist Humidifier for Bedroom, Baby, Essential Oils, Ultrasonic",196281337487.0,Other,-,1.0,34.99,31.88,$0.00,$3.11,$0.00,$8.92,$0.00,$0.00,$4.72,$4.20,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,22.96,34.99,1,0,0
386,Toshiba 0.9 Cu Ft Microwave 900W Stainless Steel,196281384561.0,Other,-,1.0,213.77,193.02,$0.00,$20.75,$0.00,$46.04,$0.00,$0.00,$26.80,$19.24,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,146.98,213.77,1,0,0
387,"12,000BTU Midea U-Shaped Inverter Window AC, Energy Saving, Alexa, Remote, Brack",196281386465.0,Other,-,1.0,362.72,329.0,$0.00,$33.72,$0.00,$94.05,$0.00,$0.00,$94.05,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,234.95,362.72,0,1,0
388,3 Pack Attachment Set for Shark Navigator Lift-Away Vacuum Models UV440 NV370 NV,196282377370.0,Other,-,1.0,42.46,39.22,$0.00,$3.24,$0.00,$9.75,$0.00,$0.00,$5.64,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$4.11,29.47,42.46,0,0,0
389,Panasonic - Nose & Ear Hair Trimmer ER-430,196282391662.0,Other,-,1.0,59.33,55.45,$0.00,$3.88,$0.00,$18.96,$0.00,$0.00,$7.73,$7.12,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$4.11,36.49,59.33,1,0,0
390,De'Longhi EC680 Dedica 15-Bar Pump Espresso MachineFilter 2 Cups by DeLonghi,196282401483.0,Other,-,1.0,27.26,25.39,$0.00,$1.87,$0.00,$6.22,$0.00,$0.00,$3.77,$2.45,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,19.17,27.26,1,0,0
391,Garden of Life Men's Probiotics 40B CFU 30 Capsules,196282609675.0,Other,-,1.0,7.09,7.09,$0.00,$0.00,$0.00,$2.41,$0.00,$0.00,$2.41,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,4.68,7.09,0,0,0
392,Klaire Labs P-5-P  30mg Bioactive B6 for Metabolic   Liver Support (100 Caps),196282807540.0,Other,-,1.0,24.13,24.13,$0.00,$0.00,$0.00,$10.47,$0.00,$0.00,$3.38,$2.90,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$4.19,13.66,24.13,1,0,0
393,"Dymatize Vegan Plant Protein, Creamy Chocolate, 25g Protein, 4.8g BCAAs, 15 Serv",196282818118.0,Other,-,1.0,19.17,18.0,$0.00,$1.17,$0.00,$2.67,$0.00,$0.00,$2.67,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,15.33,19.17,0,1,0
394,Solgar BCAA Plus Capsules: Muscle Support - Free Form BCAAs with Vitamin B6 - No,196282853734.0,Other,-,1.0,37.32,37.32,$0.00,$0.00,$0.00,$9.49,$0.00,$0.00,$5.01,$4.48,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,27.83,37.32,1,0,0
395,Valerian Root Capsules - Natural Sleep Aid - Gluten Free - 100ct,196282931652.0,Other,-,1.0,21.26,19.42,$0.00,$1.84,$0.00,$2.93,$0.00,$0.00,$2.93,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,16.49,21.26,0,0,0
396,SOLARAY Valerian Root Extract 50mg | Sleep Relaxation Support | 60 Caplets,196282946525.0,Other,-,1.0,18.27,17.24,$0.00,$1.03,$0.00,$2.66,$0.00,$0.00,$2.66,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,14.58,18.27,0,0,0
397,"Atkins Milk Chocolate Protein Shake, 30g Protein, 7g Fiber, Keto-Friendly, 12 Co",196282972979.0,Other,-,1.0,32.5,32.5,$0.00,$0.00,$0.00,$7.34,$0.00,$0.00,$4.41,$2.93,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,25.16,32.5,1,1,0
398,Pure Encapsulations Copper (Citrate) | Highly Bioavailable | 60 Capsules,196282977771.0,Other,-,1.0,20.0,20.0,$0.00,$0.00,$0.00,$2.87,$0.00,$0.00,$2.87,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,17.13,20.0,0,0,0
399,"L'il Critters Kids Probiotic Gummies, 60ct, Digestive Health, Grape Cherry Orang",196283015374.0,Other,-,1.0,25.46,25.46,$0.00,$0.00,$0.00,$5.83,$0.00,$0.00,$3.54,$2.29,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,19.63,25.46,1,0,0
400,Sugarbear Hair Vitamins - Vegan Gummies for Hair and Nails (2 Month Supply),196283029202.0,Other,-,1.0,43.0,43.0,$0.00,$0.00,$0.00,$5.71,$0.00,$0.00,$5.71,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,37.29,43.0,0,1,0
401,Item ID 196283037021,196283037021.0,Other,-,1.0,63.82,63.82,$0.00,$0.00,$0.00,$13.92,$0.00,$0.00,$8.18,$5.74,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,49.9,63.82,1,0,0
402,"Boron Citrate Powder - 5mg Supplement for Bones & Joints, 500g",196283056565.0,Other,-,1.0,43.9,43.9,$0.00,$0.00,$0.00,$16.00,$0.00,$0.00,$5.82,$3.95,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$6.23,27.9,43.9,1,0,0
403,Pure Niacinamide (Vitamin B3) No Additives - Lab Verified,196284958972.0,Other,-,1.0,14.56,14.56,$0.00,$0.00,$0.00,$3.41,$0.00,$0.00,$2.10,$1.31,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11.15,14.56,1,0,0
404,"Garlic Extract 1000mg, Supports Circulation, 100 Softgels, 3-Pack.",196284962559.0,Other,-,1.0,15.39,15.39,$0.00,$0.00,$0.00,$3.59,$0.00,$0.00,$2.20,$1.39,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11.8,15.39,1,0,0
405,Pure Encapsulations Iodine Capsules - Thyroid Support & Healthy Metabolism - 120,196285873568.0,Other,-,1.0,30.0,30.0,$0.00,$0.00,$0.00,$6.81,$0.00,$0.00,$4.11,$2.70,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,23.19,30.0,1,1,0
406,Pure Encapsulations Thyroid Support Complex - Antioxidant Infusion - 60 Capsules,196285874443.0,Other,-,1.0,55.31,55.31,$0.00,$0.00,$0.00,$12.21,$0.00,$0.00,$7.23,$4.98,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,43.1,55.31,1,0,0
407,Pure Encapsulations PreNatal Nutrients for Pregnancy & Lactation - 120 Capsules,196285879091.0,Other,-,1.0,76.39,76.39,$0.00,$0.00,$0.00,$16.71,$0.00,$0.00,$9.83,$6.88,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,59.68,76.39,1,0,0
408,"""Garden of Life Women's 50+ Probiotic with Acidophilus - 90 Caps""",196285884542.0,Other,-,1.0,103.91,103.91,$0.00,$0.00,$0.00,$22.58,$0.00,$0.00,$13.23,$9.35,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,81.33,103.91,1,0,0
409,"Alive! Women's 50+ Gummy Multivitamin, Heart, Brain, Bones, B-Vitamins, Gluten-F",196285893025.0,Other,-,1.0,21.45,21.45,$0.00,$0.00,$0.00,$4.88,$0.00,$0.00,$2.95,$1.93,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,16.57,21.45,1,0,0
410,Garden of Life Dr. Formulated Women's Probiotic Gummies 50ct (Cranberry),196285940257.0,Other,-,1.0,27.51,27.51,$0.00,$0.00,$0.00,$6.28,$0.00,$0.00,$3.80,$2.48,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,21.23,27.51,1,0,0
411,Garden of Life Probiotics Prostate+ - Healthy Prostate Support - 60 caps.,196285941061.0,Other,-,1.0,138.34,135.3,$0.00,$3.04,$0.00,$17.38,$0.00,$0.00,$17.38,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,117.92,138.34,0,0,0
412,Transparent Labs Grass-Fed Whey Protein Isolate - 28g Protein - Cookie Flavor,196285952281.0,Other,-,1.0,110.64,102.44,$0.00,$8.20,$0.00,$24.02,$0.00,$0.00,$14.06,$9.96,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,78.42,110.64,1,0,0
413,Vitamin Code Raw Iron 30ct Capsules,196285957333.0,Other,-,1.0,24.96,24.96,$0.00,$0.00,$0.00,$3.48,$0.00,$0.00,$3.48,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,21.48,24.96,0,0,0
414,"MegaFood Blood Builder Minis: Iron Supplement - Increased Iron Levels, No Side E",196285975050.0,Other,-,1.0,28.07,27.52,$0.00,$0.55,$0.00,$6.30,$0.00,$0.00,$3.77,$2.53,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,21.22,28.07,1,0,0
